name,old name,male,female,english,hindi,punjabi,bangoli,noise,check
hindi_sample_16.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_17.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_18.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_19.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_20.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_21.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_22.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_23.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_24.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_25.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_26.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_27.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_28.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_29.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_30.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_31.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_32.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_33.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_34.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_35.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_36.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_37.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_38.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_39.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_40.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_41.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_42.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_43.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_44.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_45.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_46.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_47.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_48.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_49.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_50.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_51.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_52.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_53.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_54.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_55.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_57.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_58.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_59.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_60.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_61.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_62.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_63.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_64.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_65.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_66.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_67.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_68.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_69.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_70.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_71.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_72.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_73.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_74.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_75.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_76.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_77.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_78.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_79.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_80.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_81.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
hindi_sample_82.wav,hindi audio sample 5.wav,1,0,0,1,0,0,0,1
